ref,bom_id,value,description,board_region,assembly_status,schematic_symbol_strategy,footprint_field,mechanical_package,body_size_mm,freeze_status,footprint_status,not_for_fab_required,3d_model_status,source_document,source_page,gate_or_next_action
U1,C001,RK3576,"Main SoC — 8-core, 6 TOPS NPU, ISP, MIPI CSI, H.264/265. Demand-started compute island (NOT always-on). Functional block: interface pins only.",R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_FCCSP698L_16x17,"FCCSP698L, 0.6 mm pitch",16.1 x 17.2 x TBD mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,RK3576 Brief Datasheet file,pp. 1-3,G01 (RK3576 datasheet/HDG/ballmap/DDR guide)
U2,C002,RK806S-5,SoC PMIC — generates CPU/GPU/NPU/DDR/IO rails + power sequencing for RK3576. Reuse verified RK3576 power architecture; NOT for AON.,R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_QFN,TBD QFN/BGA variant,TBD,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G03 (RK806S MPN/inductors/caps/timing per Radxa/Rockchip FAE)
U3,C003,LPDDR4X 4GB (MPN TBD),"System memory — 4 GB LPDDR4X x32, placed adjacent to RK3576. Reuse a Rockchip/Radxa-verified MPN to lower first chip-down risk vs LPDDR5.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_BGA,TBD BGA,TBD,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,"G02 (LPDDR4X MPN/topology/placement, DDR review + length report)"
U4,C004,eMMC 5.1 32GB (MPN TBD),"System storage — 32 GB eMMC 5.1 (HS200/HS400 per BSP). Small + reliable; no microSD. Holds OS, models, event clips.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_BGA153,BGA153 candidate,TBD,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G04 (eMMC MPN + BSP/bootloader; cold-boot + power-loss recovery)
Y1,C005,24 MHz 10 ppm XTAL,"Main clock — 24 MHz, 10 ppm; load per Rockchip reference layout.",R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:Crystal_SMD_3225,3225 or smaller,3.2 x 2.5 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G01 (reuse reference CL/ESR + placement distance per HDG)
U5,C006,MX25U6432F,Backup boot flash — 64 Mbit 1.8 V serial NOR on FSPI. Reserved for recovery / factory test / alt-boot; not populated on first EVT.,R-Temple Compute Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:USON-8,USON/XSON/SOP option,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Boot flow decides whether production needs it
U6,C007,TPS61088,"Main SoC 5 V boost — 1S -> SOC_5V for the compute island. High-current sync boost; EN from nRF54L15, PG back to nRF. Candidate/HOLD until peak measured.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VQFN-22_4.5x3.5,VQFN-22 4.5 x 3.5 mm,4.5 x 3.5 x TBD mm,HOLD,candidate; verify official drawing/land pattern/height before layout,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,"G06/G09 (measured RK3576 boot+AI peak, soft-start, droop, thermal)"
L1,C008,Boost inductor (TBD),"Boost inductor for TPS61088 — low-DCR shielded, value per TPS61088 design. Do not freeze before transient sim/measurement.",R-Temple Compute Board,TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_L_5x5,target <=5 x 5 x 2 mm,5.0 x 5.0 x 2.0 mm,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G06/G13 (Isat covers boot+AI peak; height <=2mm; thermal)
U11,C015,FCU760KAAMD,"Wi-Fi 6 + BT 5.4 module — Quectel FCU760K, LCC 13.0x12.2x2.0mm. USB2 to RK3576 host; PCM for BT audio; VBAT 3.0-3.6V (typ 3.3V), max TX 353 mA. On-demand, load-switched off.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_LCC_13x12.2_Quectel,LCC module,13.0 x 12.2 x 2.0 mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Quectel FCU760K Short Specification,pp. 1-3,G05 (Quectel HW Design + RK3576 BSP driver/firmware/enum) + official LCC land pattern
U12,C016,TPS62825,Wi-Fi dedicated 3.3 V buck — feeds FCU760K VBAT; >=500 mA capability for the 353 mA TX peak (pack note). EN by AON MCU. Avoids routing the radio through 5 V (Phase-3 rule).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:QFN_1.5x1.5,QFN 1.5 x 1.5 mm,1.5 x 1.5 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G05/G06 (inductor/caps per module 353mA TX peak + ripple)
