net,signal_name,kind,domain,direction,source,destination,default_state,pull,diff_pair,cross_domain,isolation,layout_rule,esd,endpoint_count,boards,endpoints,note
GND,GND,power,0V,source->loads,source,loads,0V,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,67,EVT Debug Tail; Front Sensor Board; L-Temple AON/Power Board; R-Temple Compute Board; Temple Rears (batt/spkr/ant),U1.GND=RK3576; U2.GND=RK806S-5; U3.GND=LPDDR4X 4GB (MPN TBD); U4.GND=eMMC 5.1 32GB (MPN TBD); Y1.GND=24 MHz 10 ppm XTAL; U5.GND=MX25U6432F; U6.GND=TPS61088; U11.GND=FCU760KAAMD; U12.GND=TPS62825; U13.GND=TPS22917DBVR; C1.B=47uF 6.3V X5R; RT3.B=10k NTC B=3435; U7.GND=nRF54L15-QFN48; U8.GND=nPM1300; U9.GND=NDP120; U10.GND=BMI270; J6.GND=BLE 2.4 GHz FPC/PCB ant; J7.GND=Wi-Fi 2.4/5 GHz FPC ant; U14.GND=IMX415-AAQR module (custom FPC); U15.GND=TPS62840; U16.GND=TLV75529PDRVR; U17.GND=TPS22917DBVR; U18.GND=TPD4E05U06; U19.GND=TPD4E05U06; MK1.GND=T5837 (wake mic); MK2.GND=T5837 (array mic 1); MK3.GND=T5837 (array mic 2); MK4.GND=T5837 (4th mic); U20.GND=MAX98360A; U21.GND=TPS22917DBVR; U22.GND=DRV2605L; R21.B=0R (pack-PCM baseline); Q1.D_PACK=Dual N-MOSFET (b2b); R23.A=2k; RT1.B=10k NTC (R cell); RT2.B=10k NTC (L cell); J1.GND=Magnetic pogo 4-6p; J2.GND=USB-C 16p USB2-only; U24.GND=TPD2E001; R1.B=5.1k 1%; R2.B=5.1k 1%; J3.GND=Hirose FH26W 0.3mm FPC; J4.GND=Custom hinge FPC 6-10mm; J5.GND=U.FL / I-PEX MHF; TP1.GND=UART/SWD pogo pads; SW1.B=Power/PWRKEY; SW2.B=Reset; SW3.B=MaskROM/Recovery; U25.GND=INA238 (I_BAT_TOTAL); U26.GND=INA238 (I_CELL_L); U27.GND=INA238 (I_CELL_R); U28.GND=INA238 (I_SOC_5V); U29.GND=INA238 (I_WIFI); U30.GND=INA238 (I_AUDIO); U31.GND=INA238 (I_CAM_1V1); U32.GND=INA238 (I_CAM_1V8); U33.GND=INA238 (I_CAM_2V9); R11.B=100k; R12.B=100k; R13.B=100k; R14.B=100k; R15.B=100k; R16.B=100k; R17.B=100k; R18.B=100k; R19.B=100k; R20.B=100k,derived from endpoints; verify at the owning gate
VDD_CPU,VDD CPU,power,RK806 rail (TBD),source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,2,R-Temple Compute Board,U1.VDD_CPU=RK3576; U2.VDD_CPU=RK806S-5,derived from endpoints; verify at the owning gate
VDD_GPU,VDD GPU,power,RK806 rail (TBD),source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,2,R-Temple Compute Board,U1.VDD_GPU=RK3576; U2.VDD_GPU=RK806S-5,derived from endpoints; verify at the owning gate
VDD_NPU,VDD NPU,power,RK806 rail (TBD),source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,2,R-Temple Compute Board,U1.VDD_NPU=RK3576; U2.VDD_NPU=RK806S-5,derived from endpoints; verify at the owning gate
VDD_LOGIC,VDD LOGIC,power,RK806 rail (TBD),source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,2,R-Temple Compute Board,U1.VDD_LOGIC=RK3576; U2.VDD_LOGIC=RK806S-5,derived from endpoints; verify at the owning gate
VDD_DDR,VDD DDR,power,RK806 rail (TBD),source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,R-Temple Compute Board,U1.VDD_DDR=RK3576; U2.VDD_DDR=RK806S-5; U3.VDD_DDR=LPDDR4X 4GB (MPN TBD),derived from endpoints; verify at the owning gate
VCC_DDRIO,VCC DDRIO,power,1.8V,source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,R-Temple Compute Board,U1.VCC_DDRIO=RK3576; U2.VCC_DDRIO=RK806S-5; U3.VDDQ=LPDDR4X 4GB (MPN TBD),derived from endpoints; verify at the owning gate
VCCIO_1V8,VCCIO 1V8,power,1.8V,source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,6,R-Temple Compute Board,U1.VCCIO_1V8=RK3576; U2.VCCIO_1V8=RK806S-5; U4.VCCQ=eMMC 5.1 32GB (MPN TBD); U5.VCC=MX25U6432F; R9.A=2.2k 1%; R10.A=2.2k 1%,derived from endpoints; verify at the owning gate
VCC_3V3,VCC 3V3,power,3.3V,source->loads,RK806S rail,loads,off until owning regulator is enabled,none / TBD,no,no,not a power-domain crossing,wide/short copper; local decoupling; current-sense Kelvin where named,no / TBD,3,R-Temple Compute Board,U1.VCC_3V3=RK3576; U2.VCC_3V3=RK806S-5; U4.VCC=eMMC 5.1 32GB (MPN TBD),derived from endpoints; verify at the owning gate
SOC_XIN,SOC XIN,signal,TBD,see endpoints,U1.XIN (R-Temple Compute Board),Y1.XIN (R-Temple Compute Board),TBD at pinmux freeze,none / TBD,no,no,not a power-domain crossing,standard layout; verify at pinmux/placement,no / TBD,2,R-Temple Compute Board,U1.XIN=RK3576; Y1.XIN=24 MHz 10 ppm XTAL,derived from endpoints; verify at the owning gate
