functional_block,reference_designator,bom_id,manufacturer,exact_mpn,description,board_region,assembly_status,package,body_length_mm,body_width_mm,body_height_mm,land_pattern,courtyard,keepout,pin_pitch,mass_g,operating_voltage,typical_power,peak_power,thermal_notes,placement_notes,source_document,source_revision,source_page,source_url_or_file,confidence,freeze_status,schematic_status,footprint_status,3d_model_status,next_action
EVT Debug Tail,J2,C035,TBD,USB-C 16p USB2-only,EVT USB-C — 5 V sink + USB2 OTG (no USB3/DP). For MaskROM/ADB/firmware/lab supply.,EVT Debug Tail,Fit,AI_Glasses_V2:USB_C_16P_MidMount,,,,AI_Glasses_V2:USB_C_16P_MidMount,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Connector height + shell opening co-freeze
EVT Debug Tail,R1,C037a,TBD,5.1k 1%,USB-C CC1 Rd — 5.1k 1% sink pulldown. LOCK value + 1% (V1 audit rule).,EVT Debug Tail,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,USB-C spec
EVT Debug Tail,R2,C037b,TBD,5.1k 1%,USB-C CC2 Rd — 5.1k 1% sink pulldown.,EVT Debug Tail,Fit,AI_Glasses_V2:R_0402,,,,AI_Glasses_V2:R_0402,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,USB-C spec
EVT Debug Tail,SW1,C042a,TBD,Power/PWRKEY,Power key — RK3576 PWRON via AON/PMIC.,EVT Debug Tail,Fit,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,,,,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,First chip-down must recover from boot failure
EVT Debug Tail,SW2,C042b,TBD,Reset,Reset key — RK3576 RESET_n.,EVT Debug Tail,Fit,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,,,,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Bring-up
EVT Debug Tail,SW3,C042c,TBD,MaskROM/Recovery,MaskROM/recovery key — force USB recovery boot.,EVT Debug Tail,Fit,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,,,,Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Bring-up (recover from bad boot)
EVT Debug Tail,TP1,C041,TBD,UART/SWD pogo pads,UART/SWD test pads — RK3576 UART0 + nRF SWD + GND/VREF for bring-up (no connector height).,EVT Debug Tail,Fit,AI_Glasses_V2:TestPad_Set,,,,AI_Glasses_V2:TestPad_Set,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Voltage domain clearly labelled (no 3.3V into 1.8V IO)
EVT Debug Tail,U24,C036,TBD,TPD2E001,USB2 ESD — low-cap ESD on D+/D- near the connector.,EVT Debug Tail,Fit,Package_TO_SOT_SMD:SOT-23-3,,,,Package_TO_SOT_SMD:SOT-23-3,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,TBD,TBD,TBD,TBD after thermal review,,Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,Fit,present in current schematic,candidate; verify official drawing/land pattern/height before layout,HOLD/TBD; no verified aligned STEP in V2 KiCad,Keep ~90 ohm diff + continuous ref gnd
front FPC connector,J3,C038,Hirose,FH26W series pin count TBD,Front<->temple high-speed FPC — carries MIPI CSI + PDM + I2C + control + camera power + GND across to the compute/AON boards. Documents the hinge-FPC pin list.,Front Sensor Board,HOLD,"0.3 mm pitch, 1.0 mm height, bottom-contact/front-flip ZIF",12.0,3.5,1.0,AI_Glasses_V2:VERIFY_FPC_FH26W,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,MIPI/PDM/I2C/CAM rails/GND,passive,pin-current TBD,TBD after thermal review,35-pin length is only an example. Final pin count and contact orientation are G12 blockers.,AI Glasses Hardware Dimensions V2.3,2026-07-01,pp. 1-10,/Users/stanley/Downloads/AI_Glasses_Hardware_Dimensions_V2.3.pdf,medium; project extraction from BOM PDFs,HOLD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,G12 (pin count from final cam lane/mic/power split)
camera buck inductor,L3,C020b,TBD,cam 1.1 V inductor TBD,Camera 1.1 V buck inductor — SW->1V1.,Front Sensor Board,Fit,target 1.6 x 0.8 mm class,1.6,0.8,,AI_Glasses_V2:VERIFY_L_1.6x0.8,TBD; use official package drawing before layout,TBD; see placement notes,TBD,TBD,CAM_1V1 buck,loss TBD,DVDD current plus ripple,TBD after thermal review,"MPN, DCR, Isat, height and camera noise impact required.",Current V2 generated schematic/BOM master,generated 2026-07-01,scripts/chipdown_bom.py,v2_chipdown/scripts/chipdown_bom.py,high for current project intent; not a package drawing,TBD,present in current schematic,NOT_FOR_FAB placeholder; not release-ready,HOLD/TBD; no verified aligned STEP in V2 KiCad,Per TPS62840 design
