ref,bom_id,value,board,assembly,render_id,body_dims,envelope_dims,status,gate
U1,C001,RK3576,R-Temple Compute Board,Fit,C01,16.1x17.2xH TBD,"SoC body, not full circuit",Candidate/HOLD,G01 (RK3576 datasheet/HDG/ballmap/DDR guide)
U2,C002,RK806S-5 QFN68 7x7x0.90mm,R-Temple Compute Board,HOLD,C03,7.0x7.0x0.90,QFN68 ePad,Candidate/HOLD,"G03 (official RK806S-5 datasheet, OTP/default rails, sequence, layout guide)"
U3,C003,Samsung K4U6E3S4AA-MGCL,R-Temple Compute Board,HOLD,C02,TBD package drawing,orange DDR placement envelope,HOLD,G02 (Samsung datasheet/ball map/IBIS + Rockchip DDR AVL/init + length report)
U4,C004,Samsung KLMAG1JENB-B041,R-Temple Compute Board,HOLD,C04,11.5x13.0x0.8,153-FBGA,Candidate/HOLD,G04 (official Samsung datasheet/package + BSP boot/HS200 then HS400 validation)
Y1,C005,24 MHz 10 ppm XTAL,R-Temple Compute Board,Fit,P04,3.2x2.5xH TBD,3225 crystal,Fit,G01 (reuse reference CL/ESR + placement distance per HDG)
U5,C006,MX25U6432F,R-Temple Compute Board,DNP,,see schematic / TBD or passive,,DNP,Boot flow decides whether production needs it
U6,C007,TPS61088,R-Temple Compute Board,HOLD,P02,4.5x3.5xH TBD,boost IC body,Candidate/HOLD,"G06/G09 (measured RK3576 boot+AI peak, soft-start, droop, thermal)"
L1,C008,Coilcraft XGL4020-102MEC 1.0uH,R-Temple Compute Board,HOLD,P03,4.0x4.0x2.0,high-current magnetic,Candidate/HOLD,G06/G13 (Isat/DCR/thermal pass for 5.1V 3A continuous / 4A peak boost)
U11,C015,FCU760KAAMD,R-Temple Compute Board,HOLD,RF01,13.0x12.2x2.0,LCC module,HOLD,G05 (Quectel HW Design + RK3576 BSP driver/firmware/enum) + official LCC land pattern
U12,C016,TPS62825,R-Temple Compute Board,Fit,,see schematic / TBD or passive,,Fit,G05/G06 (inductor/caps per module 353mA TX peak + ripple)
L2,C016c,Wi-Fi buck inductor (TBD),R-Temple Compute Board,Fit,,see schematic / TBD or passive,,Fit,Per TPS62825 peak+ripple
U13,C016b,TPS22917DBVR,R-Temple Compute Board,Fit,,see schematic / TBD or passive,,Fit,G05 (turn-on sequence w/ module)
C1,C015-C,47uF 6.3V X5R,R-Temple Compute Board,Fit,,see schematic / TBD or passive,,Fit,Local bulk per Quectel HW Design
RT3,C043,10k NTC B=3435,R-Temple Compute Board,Fit,,see schematic / TBD or passive,,Fit,Probe position per thermal sim
U35,C010b,BQ25895,R-Temple Compute Board,HOLD,P01,TBD official package,charger placement envelope,HOLD,"Charger/power-path config, TS thresholds, 1S2P charge profile, thermal/current validation"
U36,C034b,5V input eFuse/OVP (MPN TBD),R-Temple Compute Board,HOLD,,see schematic / TBD or passive,,HOLD,"Select MPN for pogo/USB VBUS surge, reverse, OVP, current limit and thermal fault"
U7,C009,nRF54L15-QFN48,L-Temple AON/Power Board,Fit,A01,6x6x0.85,QFN48,Fit,EVT-frozen (RF layout/SDK/package to freeze early)
U8,C010,nPM1300,L-Temple AON/Power Board,HOLD,A02,5x5xH TBD,AON rails/gauge,HOLD,G08 (AON <=25/50mW) — configure via nPM PowerUP on EK before board
U9,C011,NDP120,L-Temple AON/Power Board,HOLD,A03,5x5xH TBD,QFN40 target,HOLD,Full datasheet + dev kit + measured listening power + NDA/licensing
U10,C012,BMI270,L-Temple AON/Power Board,Fit,A04,2.5x3.0x0.8,LGA14,Fit,Evaluate false-trigger under real frame vibration
J6,C018,FCU760K ANT_BT DNP test pad,Temple Rears (batt/spkr/ant),DNP,,see schematic / TBD or passive,,DNP,Only populate if Quectel FAE + coexistence test requires the second RF port
J7,C017,Taoglas FXP840.07.0055B,Temple Rears (batt/spkr/ant),HOLD,RF02,14x5x0.1,plastic window keep-out,HOLD,G14 (worn-state tune + antenna keep-out in full shell with battery/speaker)
